Verification type,Type,SubType,Lane configuration,Width,Support,Positioning of internal forces influence line,Action effect,Span,"?Q1,global","?Q2,global","?q,global Class+","?q,global Class","?Q1,local","?Q2,local"
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,50,0.55,0.35,0.237548905,0.165696121,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,60,0.55,0.35,0.209477341,0.157387597,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,70,0.55,0.35,0.192019591,0.155167274,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,80,0.55,0.35,0.181796367,0.136894746,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,20,0.55,0.35,0.058347082,-0.024851294,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,30,0.55,0.35,0.13905978,0.068582137,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,40,0.55,0.35,0.143197703,0.084690797,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,50,0.55,0.35,0.133515715,0.084491614,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,60,0.55,0.35,0.12348276,0.087151,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,70,0.55,0.35,0.1164428,0.094090465,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,V,80,0.55,0.35,0.113507198,0.102737805,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,20,0.55,0.35,0.014850939,-0.15942197,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,30,0.55,0.35,0.118411314,0.055129307,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,40,0.55,0.35,0.130531693,0.074805364,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,50,0.55,0.35,0.126144306,0.077719076,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,60,0.55,0.35,0.118056702,0.077355569,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,70,0.55,0.35,0.109542508,0.076270679,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mp,80,0.55,0.35,0.102062463,0.076941408,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,20,0.55,0.35,0.101676556,0.055586135,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,30,0.55,0.35,0.128159118,0.091012935,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,40,0.55,0.35,0.127936883,0.102878424,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,50,0.55,0.35,0.121891277,0.096593026,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,60,0.55,0.35,0.113297197,0.097469706,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,70,0.55,0.35,0.100638645,0.098779333,0.55,0.4
Longitudinal,Twin,Concrete,Bi2L,9,Simp,p0,Mn,80,0.55,0.35,0.106582898,0.105924486,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,V,20,0.55,0.35,0.553655911,0.440058921,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,V,30,0.55,0.35,0.422373265,0.31079449,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,Mp,20,0.55,0.35,0.379648901,0.09413601,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,Mp,30,0.55,0.35,0.390232916,0.210375706,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,Mn,20,0.55,0.35,0.33767396,0.255341811,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P1,Mn,30,0.55,0.35,0.283752367,0.19573809,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,V,20,0.55,0.35,0.15411667,0.024732521,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,V,30,0.55,0.35,0.238091121,0.092509841,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,Mp,20,0.55,0.35,0.386689003,0.078698048,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,Mp,30,0.55,0.35,0.349668078,0.133555401,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,Mn,20,0.55,0.35,0.30962612,0.202919754,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P2,Mn,30,0.55,0.35,0.27504737,0.174090277,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,V,20,0.55,0.35,0.100808806,-0.014226885,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,V,30,0.55,0.35,0.202095532,0.092516224,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,Mp,20,0.55,0.35,0.318405276,0.018460247,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,Mp,30,0.55,0.35,0.37922505,0.13030882,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,Mn,20,0.55,0.35,0.263283238,0.172683328,0.55,0.4
Longitudinal,Multi,Composite,Uni2L,9,Simp,P3,Mn,30,0.55,0.35,0.22869453,0.156078892,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,V,20,0.55,0.35,0.390850602,0.05232081,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,V,30,0.55,0.35,0.316949007,0.023103634,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,Mp,20,0.55,0.35,-0.086680254,-0.131049335,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,Mp,30,0.55,0.35,0.180698869,-0.038545564,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,Mn,20,0.55,0.35,0.249101318,0.047062924,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P1,Mn,30,0.55,0.35,0.202372433,0.050291986,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,V,20,0.55,0.35,-0.279670428,-0.284973116,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,V,30,0.55,0.35,-0.083879655,-0.088599235,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,Mp,20,0.55,0.35,-0.084850754,-0.186913071,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,Mp,30,0.55,0.35,0.099842308,0.060430026,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,Mn,20,0.55,0.35,0.162099529,0.123671131,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P2,Mn,30,0.55,0.35,0.150171479,0.119067723,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,V,20,0.55,0.35,-0.192865443,-0.300907264,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,V,30,0.55,0.35,-0.021839696,-0.134394434,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,Mp,20,0.55,0.35,-0.188738189,-0.242570118,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,Mp,30,0.55,0.35,0.06551612,-0.055068424,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,Mn,20,0.55,0.35,0.121942621,0.051289103,0.55,0.4
Longitudinal,Multi,Composite,Bi2L,9,Simp,P3,Mn,30,0.55,0.35,0.123959083,0.080803372,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,V,15,0.55,0.35,0.331308015,0.205506516,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,V,20,0.55,0.35,0.444219377,0.336891574,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,V,25,0.55,0.35,0.437559331,0.306802401,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,V,30,0.55,0.35,0.400983509,0.271092546,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mp,15,0.55,0.35,0.056686629,-0.294557029,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mp,20,0.55,0.35,0.250002553,-0.06441948,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mp,25,0.55,0.35,0.266854439,-0.008213642,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mp,30,0.55,0.35,0.344280045,0.060670136,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mn,15,0.55,0.35,0.454361439,0.314925517,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mn,20,0.55,0.35,0.448931418,0.288918765,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mn,25,0.55,0.35,0.407204164,0.241848094,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,Mn,30,0.55,0.35,0.381292937,0.211475307,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxMid,15,0.55,0.35,0.374325401,-0.036729636,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxMid,20,0.55,0.35,0.448382397,0.082168955,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxMid,25,0.55,0.35,0.408280338,0.017936596,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxMid,30,0.55,0.35,0.430109122,0.079678224,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxEdg,15,0.55,0.35,0.454487586,0.310257507,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxEdg,20,0.55,0.35,0.447195744,0.285929786,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxEdg,25,0.55,0.35,0.409281151,0.241221122,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p1,MxEdg,30,0.55,0.35,0.38014802,0.210160025,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,V,15,0.55,0.35,0.158428811,-0.020425352,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,V,20,0.55,0.35,0.236361556,0.136326626,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,V,25,0.55,0.35,0.252415351,0.137034152,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,V,30,0.55,0.35,0.26130976,0.128449885,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mp,15,0.55,0.35,-0.16968374,-0.460573819,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mp,20,0.55,0.35,0.127276001,-0.132557676,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mp,25,0.55,0.35,0.166264569,-0.064664623,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mp,30,0.55,0.35,0.290403833,0.040356524,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mn,15,0.55,0.35,0.36855577,0.218950089,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mn,20,0.55,0.35,0.398084136,0.234483232,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mn,25,0.55,0.35,0.471064831,0.21814329,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,Mn,30,0.55,0.35,0.40446,0.212276388,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,MxMid,15,0.55,0.35,0.478575248,0.163446725,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,MxMid,20,0.55,0.35,0.508043513,0.38021,0.55,0.4
Both,Slab,Long,Uni2L,9,Fixed,p2,MxMid,25,0.55,0.35,0.459007385,0.270305506,0.55,0.4
